image,species,individual_id
000fe6ebfc9893.jpg,melon_headed_whale,cadddb1636b9
001ea84d905ced.jpg,humpback_whale,1a71fbb72250
002e8dd5f03476.jpg,false_killer_whale,60008f293a2b
005a9cc627a55d.jpg,bottlenose_dolphin,4b00fe572063
005a9cc627a55d.jpg,humpback_whale,8e5253662392
005e317de9a658.jpg,bottlenose_dolphin,b9907151f66e
0017f7e0de07b1.jpg,beluga,afb9b3978217
0033b2d4d58730.jpg,humpback_whale,444d8894ccc8
0044fb81b4f1c7.jpg,beluga,df94b15285b9
00098d1376dab2.jpg,bottlenose_dolphin,b11b2404c7e3
00813a03e678c3.jpg,minke_whale,19fbb960f07d
002618d6f63ebc.jpg,fin_whale,180c0ab04dcd
008705d384b02a.jpg,bottlenose_dolphin,b9907151f66e
0024057bbc89a4.jpg,beluga,0ad50d0d9b06
